"Timestamp","Latitude","Longitude","Accuracy","Location Name","Retrieved from","Username","Context"
"2016-11-09 01:50:53 +0000","40.780709","-73.9685415","low","Manhattan","twitter","RyanFieldABC","@ColeWrightNFL trying to class up the joint"
"2016-11-09 01:50:52 +0000","40.7564898727","-73.9862680435","low","Times Square","twitter","d4rkm4tter","Time square is nuts today https://t.co/yuKOMQntIA"
"2016-11-09 01:50:51 +0000","40.7424927657","-74.0062938445","low","YouTube NY","twitter","heartbread","definitely enjoying all the entertainment options at the @Complex_News election party at @YouTube 👏🇺🇸 https://t.co/iD8Av4pEJl"
"2016-11-09 01:50:49 +0000","40.738878","-73.9811535","low","Gramercy","twitter","gbablon","@BPLewis @Varun @EricFriedman @twitter third!"
"2016-11-09 01:50:48 +0000","40.780709","-73.9685415","low","Manhattan","twitter","MiiikeKorte","Hilarious! https://t.co/lsTTy9bIYT"
"2016-11-09 01:50:47 +0000","40.780709","-73.9685415","low","Manhattan","twitter","JunaeBrown","NYC polls close in 10 minutes, but as long as you get there within 10 and on line you can vote. 🗣GO!"
"2016-11-09 01:50:44 +0000","40.74527093","-73.97836763","high","Manhattan","twitter","libationdaddy","Drinking with some #badhombres and #nastywomen  😂😂😂
 
#diageorep #donjulio #tequila #features… https://t.co/bFTkql7wzn"
"2016-11-09 01:50:44 +0000","40.780709","-73.9685415","low","Manhattan","twitter","brandonwrites","I don't get it. I just don't get it... #florida #electionnight"
"2016-11-09 01:50:44 +0000","40.780709","-73.9685415","low","Manhattan","twitter","mayarajamani",""We cannot sit back. We do not have that option not to vote. We all know how important this election is," Garner's… https://t.co/1fbDWPSTuQ"
"2016-11-09 01:50:44 +0000","40.780709","-73.9685415","low","Manhattan","twitter","AnnePouzargues","A 8h50 (heure de Paris) je serai en direct de Times Square pour la matinée Spéciale élection US de @sciencespo !"
"2016-11-09 01:50:42 +0000","40.780709","-73.9685415","low","Manhattan","twitter","royaltyclubvp","@caressable_ @CRM0523 yeah but they won't go so far Democrat to make up the difference"
"2016-11-09 01:50:42 +0000","40.780709","-73.9685415","low","Manhattan","twitter","Aleczandahhh","I AM ON THE VERGEEEEEEE RN #Elections2016"
"2016-11-09 01:50:41 +0000","40.780709","-73.9685415","low","Manhattan","twitter","Gigi_kingx3","@_ashovo sad isn't it ?"
"2016-11-09 01:50:39 +0000","40.780709","-73.9685415","low","Manhattan","twitter","Victor_TDK","LIIIIIT https://t.co/KpoGBExhsH"
"2016-11-09 01:50:37 +0000","40.780709","-73.9685415","low","Manhattan","twitter","liddo_bittt","Dykes Get Edge Ups More Than Niggas Do 💯😂 #BEENRICH"
"2016-11-09 01:50:36 +0000","40.780709","-73.9685415","low","Manhattan","twitter","robbiequinnnyc","#KeyRaceAlert - Which #CNN correspondent says the phrase "Right Now" the most: @wolfblitzer or @JohnKingCNN? #ElectionNight #Elections2016"
"2016-11-09 01:50:35 +0000","40.780709","-73.9685415","low","Manhattan","twitter","happeness","She can win without FL, he can't. Comforting words from my friends as I lose my shit. #Election2016"
"2016-11-09 01:50:35 +0000","40.780709","-73.9685415","low","Manhattan","twitter","NYCCKB","@dick_nixon 'I'm not a smart man , Jenny' thank you. Im so afraid."
"2016-11-09 01:50:35 +0000","40.780709","-73.9685415","low","Manhattan","twitter","jefielding","Here's where @techstars is investing. Want more on #iot - subscribe! https://t.co/M9FOrVzNGo https://t.co/ndPj6Q6SXu"
"2016-11-09 01:50:34 +0000","40.780709","-73.9685415","low","Manhattan","twitter","justDooDirty","Yo #Georgia man, y'all playing games right now.. where my folks in Atlanta.. what's this..  #ElectionNight https://t.co/91mLzaXB5S"
"2016-11-09 01:50:33 +0000","40.780709","-73.9685415","low","Manhattan","twitter","HublotDreams","This picture has nothing to do with the statement https://t.co/pbaufWQGWj"
"2016-11-09 01:50:32 +0000","40.7591286","-73.9795837","high","Manhattan","twitter","kcnobull","#electiondayvibes @ Democracy Plaza https://t.co/SmxN7VE70z"
"2016-11-09 01:50:30 +0000","40.780709","-73.9685415","low","Manhattan","twitter","TomiasMelinda","@paullim0314 goosebumps with the turn out!"
"2016-11-09 01:50:30 +0000","40.780709","-73.9685415","low","Manhattan","twitter","lsarsour","@jcarryrn I didn't. I put a comma."
"2016-11-09 01:50:29 +0000","40.780709","-73.9685415","low","Manhattan","twitter","FUNDALIDER","Estaremos en el centro de convenciones del partido Demócrata esperando los resultados.Hablando con amigos Demócratas confiesan sus nervios."
"2016-11-09 01:50:29 +0000","40.780709","-73.9685415","low","Manhattan","twitter","ThisNigga_Nelv","I'm mad I didn't receive a sticker &amp; I voted smh"
"2016-11-09 01:50:27 +0000","40.780709","-73.9685415","low","Manhattan","twitter","wannabesutton","@SalamMasalmeh I don't know what that means but I think I approve"
"2016-11-09 01:50:26 +0000","40.780709","-73.9685415","low","Manhattan","twitter","laurenpate","@amanixyasin No way! That's cool"
"2016-11-09 01:50:25 +0000","40.780709","-73.9685415","low","Manhattan","twitter","meeechhh_","feels so good to be back at the garden! #LGR 🚨❤️💙"
"2016-11-09 01:50:24 +0000","40.780709","-73.9685415","low","Manhattan","twitter","Peggynoonannyc","Wow.  https://t.co/FjcrkegzFR"
"2016-11-09 01:50:24 +0000","40.780709","-73.9685415","low","Manhattan","twitter","myesterday","@FleekyFontenot thanks"
"2016-11-09 01:50:20 +0000","40.780709","-73.9685415","low","Manhattan","twitter","Sierraa_Mistt","Trump supporters everywhere"
"2016-11-09 01:50:19 +0000","40.780709","-73.9685415","low","Manhattan","twitter","kevinnadal","#MadamePresident is at the Convention Center. Trump is at a hotel. Both in NYC. Guess they know what kind of crowds both would draw."
"2016-11-09 01:50:17 +0000","40.780709","-73.9685415","low","Manhattan","twitter","ElectrikOne","This is the closest Presidential election that I can remember.. Insane"
"2016-11-09 01:50:17 +0000","40.780709","-73.9685415","low","Manhattan","twitter","RivasDrums","Watching obvious discomfort from speakers at #NYTElectionNightLive who feel it's inappropriate to publicly QUOTE @realDonaldTrump."
"2016-11-09 01:50:14 +0000","40.748802","-73.9775905","low","Murray Hill","twitter","davidjtate","@Ramenhime Yeah 😞"
"2016-11-09 01:50:13 +0000","40.780709","-73.9685415","low","Manhattan","twitter","jmtaychi","It's going to be a long night; take a break from the news."
"2016-11-09 01:50:12 +0000","40.7567109631","-74.0010019801","low","Jacob K. Javits Convention Center","twitter","marthergue","The Mothers of the Movement at Javitz Center tonight #ElectionNight #strongertogether https://t.co/KeCQaUDzrK"
"2016-11-09 01:50:11 +0000","40.780709","-73.9685415","low","Manhattan","twitter","UrbanAchievr","@MKTWgoldstein yeah"
"2016-11-09 01:50:09 +0000","40.780709","-73.9685415","low","Manhattan","twitter","SSnyd","#Ericgardner's mom busting out a gold sequin 'pant suit' talking about @HillaryClinton empathy toward young black m… https://t.co/muv17gJtpg"
"2016-11-09 01:50:08 +0000","40.780709","-73.9685415","low","Manhattan","twitter","derrickc82","Just got an ad for #Canada Immigration and Citizenship. Happy #ElectionDay https://t.co/0ZN4t6Lm7D"
"2016-11-09 01:50:08 +0000","40.780709","-73.9685415","low","Manhattan","twitter","LeKiosquedeNY","La mère de Trayvon Martin et de Eric Garner, 2 Afro-américains tués l'un par la police, l'autre par George Zimmerman prennent la parole"
"2016-11-09 01:50:08 +0000","40.75056362","-73.99292496","high","Manhattan","twitter","NetDI","Just posted a photo @ Delta Sky360 Club - Madison Square Garden https://t.co/Gy9fBDOImQ"
"2016-11-09 01:50:07 +0000","40.780709","-73.9685415","low","Manhattan","twitter","schoppik","@Samuel_J_Sober @doc_becca god I wish I didn't."
"2016-11-09 01:50:06 +0000","40.780709","-73.9685415","low","Manhattan","twitter","Shayamborghini","@LauraAhmetaj RTx2"
"2016-11-09 01:50:04 +0000","40.780709","-73.9685415","low","Manhattan","twitter","tim_bays","@dadehayes just no hanging chads"
"2016-11-09 01:50:03 +0000","40.780709","-73.9685415","low","Manhattan","twitter","RUBBERSAX","bqRatGyefXl14uqhI9gfEXFEAfOs6WcHWHFL9b7wrKQTpIc3LfWlS3fj4thPAq75cgOHjIpWkeeMMK9qN1Ux6C77o2dS/Oh88+/wSVraPTFNgla8BxlUW3/WQz4DJ6vu0A8vbgB6"
"2016-11-09 01:50:00 +0000","40.780709","-73.9685415","low","Manhattan","twitter","Sierraa_Mistt","Live from all the madness. https://t.co/OnIMb8IPeu"
"2016-11-09 01:50:00 +0000","40.780709","-73.9685415","low","Manhattan","twitter","mollyebrewer","Found a bar with @blulpstksamurai and we're anxiously watching the election results. #ElectionNight #ImWithHer"
"2016-11-09 01:49:59 +0000","40.780709","-73.9685415","low","Manhattan","twitter","texasJMR","Not having a downtown ballpark is horrific. 🙄 https://t.co/gsF0maZ8es"
"2016-11-09 01:49:59 +0000","40.780709","-73.9685415","low","Manhattan","twitter","bridgetrchavez","Congresswoman Debbie Wasserman Schultz talks about what a Hillary administration would do for the US #NHDIA… https://t.co/oPX8FbbkLV"
"2016-11-09 01:49:59 +0000","40.780709","-73.9685415","low","Manhattan","twitter","AlyssaKaden","At least somebody I love won today! https://t.co/Qe5kjiBxLE"
"2016-11-09 01:49:58 +0000","40.780709","-73.9685415","low","Manhattan","twitter","Samantha_Delao","😂😂😂👏🏼 https://t.co/wNTxwnhdPO"
"2016-11-09 01:49:58 +0000","40.780709","-73.9685415","low","Manhattan","twitter","nsongen","https://t.co/NdNVx8UJE3"
"2016-11-09 01:49:55 +0000","40.780709","-73.9685415","low","Manhattan","twitter","CarolineWren","It was a toss up until @AmerUnityPAC got there to GOTV 😜 https://t.co/wKHhFl4GRo"
"2016-11-09 01:49:53 +0000","40.780709","-73.9685415","low","Manhattan","twitter","RedGray","I just told @nbcwashington who I think is winning. Cast your vote now! #Debates #NBC4DC https://t.co/fO1q0yp9xk"
"2016-11-09 01:49:52 +0000","40.780709","-73.9685415","low","Manhattan","twitter","CaptJeff0972","@greta I had champagne and Ice Cream once in Lithuania. That was a thing there."
"2016-11-09 01:49:49 +0000","40.780709","-73.9685415","low","Manhattan","twitter","alltimejandro","Direct quote from Trump "I hate everybody who is not a straight white male"."
"2016-11-09 01:49:48 +0000","40.7564898727","-73.9862680435","low","Times Square","twitter","KazumaHanazaki","完全なるElectionNight！
 #ElectionNight https://t.co/WEbRvsh2x4"
"2016-11-09 01:49:48 +0000","40.780709","-73.9685415","low","Manhattan","twitter","Shayamborghini","Quick someone pull up the 1989 tweets from freshman year https://t.co/EE6gVPXwff"
"2016-11-09 01:49:48 +0000","40.780709","-73.9685415","low","Manhattan","twitter","Kdolla_","Delete your account https://t.co/DYcR6ufrQb"
